Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Etiquetas,Etiquetas,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Enlace a la incidencia interna (Blocks),Enlace de incidencia saliente (Blocks),Enlace a la incidencia interna (Relates),Enlace de incidencia saliente (Relates),Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Fecha de inicio),Campo personalizado (Fuente del requisito),Campo personalizado (Prioridad MoSCoW),Campo personalizado (Story Points),Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerabilidad),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
TRZ-RF01 - CU-01 | Usuario/Rol | Módulo Autenticación | CP-RF01-Autenticacion,SICST-30,10029,Error,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,Medium,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:23 PM,09/ago/26 10:33 PM,09/ago/26 10:33 PM,,,0,,,"h3. Resumen

Elemento de trazabilidad hacia adelante de RF-01 para el caso de uso CU-01.

h3. Contexto

Clase/Módulo: Usuario / Rol / Módulo Autenticación.  
Caso de prueba: CP-RF01-Autenticacion.

h3. Criterios de aceptación

* Mantener la trazabilidad hacia adelante de RF-01.
* Asociar el elemento al caso de uso CU-01.
* Asociar el elemento a la clase/módulo Usuario / Rol / Módulo Autenticación.
* Asociar el elemento al caso de prueba CP-RF01-Autenticacion.

h3. Otra información

TRZ-RF01 - CU-01 | Usuario/Rol | Módulo Autenticación | CP-RF01-Autenticacion",,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,,,,,,SICST-5,,0|hzzzzz:,,,,,,,,,,Por hacer,09/ago/26 10:23 PM,,,
RF-04 - Registrar motivo de consulta,SICST-7,10000,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,PE4,RF-04,RF-04 - Registrar motivo de consulta. Fuente: EV-ENT-01. Caso de uso relacionado: CU-02. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,,,,,0|i00007:,,,EV-ENT-01,Must,,,,,,Por hacer,,10023,SICST-1,"Acceso, pacientes y evaluación clínica"
RF-15 - Crear plan terapéutico personalizado,SICST-9,10001,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,PE4,RF-15,RF-15 - Crear plan terapéutico personalizado. Fuente: EV-ENT-02. Caso de uso relacionado: CU-03. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,,,,,0|i0000f:,,,EV-ENT-02,Must,,,,,,Por hacer,,10016,SICST-2,Plan terapéutico y rutinas
RF-33 - Gestionar estado y escalamiento de alertas terapéuticas,SICST-19,10002,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,PE4,RF-33,RF-33 - Gestionar estado y escalamiento de alertas terapéuticas. Fuente: RFC-01 / CCB PE4. Caso de uso relacionado: CU-08. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,,,,,0|i0000n:,,,RFC-01 / CCB PE4,Should,,,,,,Por hacer,,10005,SICST-4,Seguimiento y alertas terapéuticas
Sesión remota e inteligencia artificial,SICST-3,10004,Epic,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,EPIC-03,PE4,"Agrupa sesión remota, captura por cámara, análisis de movimiento, postura y repeticiones.",,,,0,0,0,,0,0,0,,,,,,0|i00013:,,,,,,,,,,Por hacer,,,,
Seguimiento y alertas terapéuticas,SICST-4,10005,Epic,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,EPIC-04,PE4,"Agrupa generación, seguimiento y gestión del estado de alertas terapéuticas.",,,,0,0,0,,0,0,0,,,,,,0|i0001b:,,,,,,,,,,Por hacer,,,,
RF-03 - Registrar datos generales del paciente,SICST-6,10006,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,PE4,RF-03,RF-03 - Registrar datos generales del paciente. Fuente: EV-ENT-01. Caso de uso relacionado: CU-02. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,,,,,0|i0001j:,,,EV-ENT-01,Must,,,,,,Por hacer,,10023,SICST-1,"Acceso, pacientes y evaluación clínica"
RF-08 - Registrar signos vitales,SICST-8,10007,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,PE4,RF-08,RF-08 - Registrar signos vitales. Fuente: EV-ENT-01. Caso de uso relacionado: CU-02. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,,,,,0|i0001r:,,,EV-ENT-01,Must,,,,,,Por hacer,,10023,SICST-1,"Acceso, pacientes y evaluación clínica"
RF-16 - Gestionar catálogo de ejercicios,SICST-10,10008,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,PE4,RF-16,RF-16 - Gestionar catálogo de ejercicios. Fuente: EV-ENT-02. Caso de uso relacionado: CU-03. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,,,,,0|i0001z:,,,EV-ENT-02,Must,,,,,,Por hacer,,10016,SICST-2,Plan terapéutico y rutinas
RF-18 - Mostrar guías visuales,SICST-12,10009,Historia,Tareas por hacer,SICST,Sistema Inteligente de Control y Seguimiento de Terapia Física,software,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,,,,,,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,Angelo Zambrano,712020:dc1b666a-e16c-4a7e-a617-0c72ad262ff3,09/ago/26 10:06 PM,09/ago/26 10:06 PM,,,,0,PE4,RF-18,RF-18 - Mostrar guías visuales. Fuente: EV-ENT-03. Caso de uso relacionado: CU-05. Requisito tomado del ERS/SRS SICST versión 2A-CCB-v4.,,,,0,0,0,,0,0,0,,,,,,0|i00027:,,,EV-ENT-03,Must,,,,,,Por hacer,,10016,SICST-2,Plan terapéutico y rutinas
